,beginning_day,beginning_month,MSSHF,SH,t2m,TCC,tp,UW,VW,msl,z
0,01,01,6.084228885226779,0.0003690998998629665,271.20728142123755,0.7774208041297065,2.0269063393274944,8.676002517022027,-3.460301514837477,494.34912043919644,-13166.942851961385
1,02,01,7.823012836371527,0.00039636572062831367,271.4845996685028,0.7885599567837185,2.216506250699361,9.217361553488837,-2.7498376827875775,491.20509282283257,-13140.147844936982
2,03,01,8.105205245293511,0.0004056560051821685,271.6736636411455,0.7902233630710178,2.366818420092265,9.785093720330133,-2.282120329327053,485.6871915101319,-13127.83617654146
3,04,01,9.720855699666341,0.0004109835382145522,271.9961670839522,0.7768404299418132,2.3752867857615154,10.766597442732918,-2.340531763776143,481.59391751925125,-13091.845440946661
4,05,01,10.195813804117838,0.00041844221951770224,272.3716285645803,0.7811335063086615,2.4032639582951862,11.136714319165547,-2.3299016936620074,482.6239203637233,-13054.96735323693
5,06,01,10.947715005154079,0.0004124660882180251,272.66456198009917,0.7835621457417806,2.403389843304952,11.161801705508763,-1.9619615293926662,488.9400422218082,-13032.633403406786
6,07,01,10.618276574707032,0.0003867451312676066,272.65861569052805,0.7768587776607937,2.306372872988383,10.760060854212442,-2.109193408203125,494.57394769159225,-13012.71189283651
9,10,01,9.504327627224392,0.00036671018940802845,272.50327252646554,0.764988297144572,1.9142889261245728,9.928217825931972,-3.3642549370023938,469.82508987882807,-12929.980084145187
10,11,01,8.081655129326714,0.0003717326031823985,272.39877994740806,0.7688256925794814,1.7883806784947713,9.84363980424669,-3.2656479914771186,448.4468833601333,-12876.891815267692
11,12,01,6.408009032185872,0.000398661616958048,272.3051506213718,0.7836972997029623,1.787780261039734,9.417564729521011,-2.5343629903793334,429.19700524339606,-12816.75992486032
13,14,01,4.75011772257487,0.00042486040910809814,272.41569516071746,0.8160658796946207,2.4060755650202434,9.004713540967307,-0.23901659253438295,399.16280912289386,-12754.438217196086
15,16,01,3.6946712541368267,0.00041506394258734397,272.3027448286268,0.845411059697469,2.969527252515157,9.114504930072362,1.3411645144568551,374.31404482507895,-12680.983718869189
18,19,01,3.062918341403537,0.0004136055317244743,272.01159975437594,0.8553690101623536,2.9509791771570844,9.70826029461755,1.3475371677186756,332.8936035973171,-12599.372349322042
19,20,01,2.979568941582573,0.00039114273936722335,271.97301141671073,0.8521653873019748,2.760706146558126,9.681636120478313,1.0435191987143624,323.69089558288175,-12603.15145140218
20,21,01,3.204465927802191,0.0003967461690992397,271.9976699829525,0.8477616401672363,2.7399458487828574,9.35443621489207,0.893243000178867,316.8865883832178,-12582.876349297312
21,22,01,3.7304906826443136,0.0003790106098135235,272.0502717587789,0.841837659878201,2.7406579732894896,8.937411045922174,0.9715785015106202,314.89066875717015,-12505.788544164427
23,24,01,4.248164294772677,0.0003594250667205996,272.17848202908834,0.8326481257544622,2.540427041053772,8.40465208252801,0.5126881683985395,311.93628232580596,-12285.079194757807
24,25,01,3.923046673583984,0.00034705231053518826,272.1824766541799,0.8253194885677763,2.4002196709314982,7.19046400258806,-0.5918117559644909,307.31039881882845,-12161.68177647725
26,27,01,2.9114476579454207,0.0003711028438143634,272.2411478875054,0.8374922328948975,2.2581350962320963,5.847473672464159,-1.6417186144510902,296.4546015276739,-11923.326818953688
27,28,01,3.5482362253824866,0.00037794885605794157,272.49477869703503,0.8369009550730387,2.2574270645777386,5.806986887995402,-1.8654056182437473,286.38367559013324,-11845.617939184029
28,29,01,3.9859220530192045,0.00038462881156642146,272.606167901908,0.8312755127800836,2.178425939877828,5.7092312808354695,-1.6202423094431562,276.57005715252524,-11790.121618894618
29,30,01,4.013312819417317,0.00038362105839533897,272.6475648398081,0.8159002742767334,2.135549283027649,5.778870694287618,-1.8495992233488294,269.9231629807172,-11755.341917837512
32,02,02,4.306689150322808,0.0004167771330292984,273.0227071204291,0.8166127799987793,2.124226435025533,5.8046319024615824,-1.4188320801205103,289.06707905908445,-11688.916156893152
35,05,02,3.3480698059082026,0.00040694503889343044,273.2721801621755,0.790612786271837,2.207455611228943,5.170734781583151,0.13312857324812147,298.5217141407073,-11477.90306825034
36,06,02,3.7326455030653203,0.00041347778928297886,273.47998907758927,0.7892512680901421,2.2194990873336793,5.432694216601054,0.06710173441569006,296.4088657515532,-11408.127723304844
37,07,02,5.496244451565213,0.0004081318596451689,273.64182637350297,0.7845390115525989,2.5435411373774213,6.0561766067716825,0.2754617549684312,295.4915086329941,-11350.059732884909
38,08,02,5.06375287238227,0.000419359342845731,273.71788238945004,0.7892433242373997,2.566266640027364,6.4062382637023925,0.09562618264092346,297.6533355656428,-11294.786831620153
39,09,02,5.855045931667751,0.0004405030966470248,273.97098138847355,0.7968839787801106,2.7452156146367392,6.936192402670119,-0.16983073022630482,300.1977470256219,-11235.95778683582
40,10,02,6.526579398261176,0.0004349154802829162,274.2110043860118,0.7772499722374809,2.7481947819391888,8.10232562658522,-0.4521423183229235,304.0065883960683,-11166.741905386561
41,11,02,6.719690149603949,0.00042761036741924524,274.37249119317795,0.77429161245558,2.846275575955709,9.0867270204756,-0.6211401548597547,310.0128178980923,-11105.107659741358
42,12,02,6.354271956380207,0.0004299646037715067,274.4117315794627,0.7757840318891737,2.802945637702942,9.462748462952508,-0.682439899359809,313.7954987945647,-11062.24432978163
43,13,02,5.98144448038737,0.00043192240936355125,274.3484472010718,0.7755223462846544,2.7430481831232707,9.413956407758924,-0.338770624923706,314.5920412882526,-11016.57606856989
44,14,02,6.6728249711778425,0.00044393347540268454,274.5640287698534,0.774659949790107,2.407548928260803,8.834157821740044,-0.0475480498419867,311.99894828010736,-10937.515614438802
45,15,02,7.336924179416232,0.000442695540298866,274.88043874583775,0.7600183632320828,2.272643876075745,8.98600388031006,-0.07833918378618018,308.7194196010018,-10858.223144081276
46,16,02,7.799053224012586,0.00044225594085415626,275.1667858620961,0.7472461796654596,2.2860212564468383,9.286158549817404,0.12140100612640398,304.8991201271167,-10775.715901794014
48,18,02,8.320417007107205,0.00042854413161692894,275.7378317238278,0.7270861579895019,2.2802496194839477,9.96420674563514,0.5613579943762887,295.80934768685285,-10486.802696455192
50,20,02,9.169736484781902,0.00042702930489019766,276.16958079982334,0.7169829942915176,2.5574105739593507,11.397586893929377,1.4050282420476279,292.32116114230166,-10043.768399383802
51,21,02,8.84481417711046,0.00042090986041662544,276.3708486974504,0.7025260070800781,2.5720815022786456,12.002649700440303,1.0536805710474653,291.2131002125242,-9869.328619079275
53,23,02,9.489622351074217,0.0004494736109959553,276.7392534488678,0.7019172462887234,2.8155116558074953,12.871273667165969,1.8140170791625978,278.4893914522244,-9625.987101892726
54,24,02,9.48645728318956,0.00045793290419304263,276.94644165471396,0.7005975591871473,2.9108977476755777,14.00519215780894,3.3247017640007868,267.3799233734903,-9528.236370856335
55,25,02,10.108394532267253,0.00045239468857810405,277.2004470982022,0.7034894491831463,3.171804491678874,14.948622296184963,4.336628244993422,255.72066506617713,-9446.658484128304
56,26,02,9.837107766045465,0.000446137914333743,277.36827405938044,0.6987840744866265,3.5095718065897623,14.987010562049019,5.186799470837911,246.55021231390867,-9381.394315350146
57,27,02,9.108944207763672,0.00044686714423043363,277.4539008435143,0.7104226954989963,3.5352792660395305,14.365907355011835,5.5019989690780635,238.115444195908,-9331.295916363846
58,28,02,7.995889125230576,0.00044551061449287773,277.4958720785353,0.7175735182020399,3.5457225402196246,14.116587540054322,4.4938954913245315,225.7484969059533,-9272.395604509898
59,01,03,6.995632780626084,0.00045194142989590645,277.5703145094554,0.7311517820570205,3.5353107213974,13.874447074127197,4.202972192234464,209.51588065000047,-9169.607045733772
61,03,03,2.786619181315104,0.000413852312117721,277.4957021982405,0.7165617585076226,3.4395170052846273,13.595895750088163,4.874866016239591,179.43919001987067,-8879.355504685744
62,04,03,1.8417435387505425,0.0004006541718457331,277.42164048186413,0.7265305906507703,3.3933443864186605,12.841023024113973,4.762905282338461,162.119322775057,-8754.476157921094
63,05,03,1.1110100775824654,0.0004004436266887094,277.3824728352441,0.7457059991200765,3.3997066179911295,12.511640634367202,4.905425391557483,141.6043858118282,-8647.68014373298
64,06,03,0.32598690626356336,0.00040014518547030396,277.35247897169324,0.756506166627672,3.4106804688771564,12.187250534714593,4.647709186087714,121.7250750850918,-8551.238079374862
65,07,03,-0.6521738369411892,0.00040335616914646583,277.35008844536674,0.7655894725375705,3.4188223838806153,11.556962152820164,4.424414841079712,109.46656819456621,-8438.13613208133
66,08,03,-1.652198311360677,0.0003966680844790466,277.3564166547987,0.7524271837446425,3.419369872411092,11.05499812619951,4.927063840209114,103.56648967278804,-8307.661673766095
67,09,03,-3.8641463165283203,0.00039688221702226657,277.3892940940433,0.7439916200849745,2.9852579752604167,10.278762045542399,5.044480970658197,97.24826892886516,-8168.029637984085
68,10,03,-3.9329359310574,0.00041595661169404696,277.5673818537818,0.7546826966603597,2.9617639064788817,9.727015798844231,5.94037897981008,86.30423465388756,-8015.629861382377
70,12,03,-4.487470566474068,0.00042595218152034954,277.9393937207116,0.7383755146026612,2.8172936121622723,7.098035030047099,7.340939696820579,61.792990267423576,-7682.453446823613
71,13,03,-4.842679254489474,0.0004189992594065391,278.1526859227923,0.7296483501434327,2.776700989405314,6.252671513006422,7.875710897445679,53.62026503272988,-7438.275123369238
72,14,03,-5.127676138305664,0.00041748876192901254,278.43672378285726,0.7190761985354953,2.624314244588216,6.239875002119276,7.912644631555346,45.08180934603435,-7153.724323211188
73,15,03,-4.888962902492947,0.0004080085308036359,278.823647441313,0.6988859386867947,2.220880937576294,6.1321664888381955,7.511916821522183,33.96781368703155,-6878.44280381813
75,17,03,-6.419159842597113,0.00039239794830252017,279.2787315196991,0.6951536031511094,2.2100491682688395,6.949106972228155,6.466704217402141,19.835002704108394,-6401.994772694305
76,18,03,-7.11666628282335,0.00038586823854481437,279.3478891412523,0.7084584174686007,2.209892416000366,6.410969226858351,5.4798151578055485,15.758106663352336,-6178.7265011206555
77,19,03,-7.430713938734267,0.0003952282493261009,279.46431225111223,0.7093933288150364,2.2098788261413573,6.128531493653191,5.0405107919269145,9.72831264352715,-5990.222875997776
78,20,03,-8.176372060479059,0.0003995214363800794,279.5436577774896,0.7073914342244466,2.20340682665507,5.952475260162354,4.273165616501702,1.6007625978981515,-5844.574589444314
79,21,03,-8.21461627638075,0.00041281347321655627,279.64551241989136,0.7115195441775852,2.277052164077759,5.696192991744147,3.6895524815877283,-8.614008210970018,-5713.437058381678
80,22,03,-9.09867835828993,0.0004139880532747055,279.79433585298324,0.7104604247199163,2.2283379316329954,5.26607233804067,3.262230889892578,-21.226460803658426,-5570.845500385374
81,23,03,-9.288540990871855,0.00042791476408444095,279.98944632695515,0.7222703676011828,2.3107144117355345,5.345615947850546,3.3373783996370108,-34.102957626490586,-5424.353302977039
82,24,03,-9.070782623969185,0.0004324998641861182,280.2081796172248,0.7378542059580486,2.4647874275843304,5.506106991238064,3.7098280735015874,-41.20093618824839,-5256.271977587872
83,25,03,-11.631950026448568,0.00041591764626292487,280.1318666804844,0.7363076301150852,2.2200520435969033,5.120465234290228,3.295036571523879,-41.90874013921944,-5067.350321567187
85,27,03,-14.394365652465819,0.00041678577290626387,280.094605515798,0.7349984759860568,2.0443029324213664,3.754354598765903,2.1171201868904963,-37.08987223329048,-4661.619400354694
86,28,03,-15.45559822048611,0.00041374349543817107,280.1379298084683,0.7298664283328586,1.7495847384134928,3.6032327839321563,1.143291671668159,-38.66144679916513,-4431.107514515226
87,29,03,-15.18961484612359,0.0004166353888055811,280.1916553737217,0.7305511649661595,1.9059547742207845,4.0074275743484495,0.8043677833557131,-42.291166462829665,-4167.5412581471455
88,30,03,-15.25126090833876,0.0004366774035459862,280.302848948076,0.7313887471940782,1.9257890144983927,4.388409615770977,0.8384317480511138,-42.470077347046406,-3910.603346920474
89,31,03,-15.592330389065213,0.00044040625960559636,280.35185083779226,0.7183522930145263,2.1713056166966758,5.253018767907886,1.0740941146002878,-41.69996356252195,-3689.7482814140894
91,02,04,-16.488118464830187,0.00044184315433376466,280.2524134239197,0.7280579158359104,2.828739388783773,5.1695409311718405,0.7621612982220121,-57.173967701757064,-3338.511455441115
92,03,04,-17.12554314236111,0.00044038824905241606,280.32341157862345,0.7215846664852567,2.754634888966878,5.379072584406535,0.7122479000939265,-64.8142362106475,-3165.4090027706875
94,05,04,-18.215012430148654,0.00043753277548898447,280.4344419483185,0.7016166433970134,2.9247748692830404,5.672839414193896,0.7722159953435264,-61.92841157680618,-2789.7521130970317
95,06,04,-19.08509339633518,0.0004353773642377645,280.46465847121345,0.6850465721978083,2.82350123723348,5.911496268293593,0.2978717681248985,-63.91349910526237,-2608.6137972330857
96,07,04,-19.052529101901584,0.00044843675613592495,280.5513099323273,0.7017026435428195,2.8204158306121827,6.43216312804752,-0.14474084599812806,-71.54016713569578,-2436.1875151742233
97,08,04,-19.47003208448622,0.00044973123742088827,280.6820389807807,0.7142405172136094,2.8171360810597736,6.767967357550727,-0.3416418638865151,-79.20141832663893,-2253.130304969285
98,09,04,-20.984022700330947,0.00042983107509783923,280.70146076558433,0.703065618472629,2.817948246002197,6.918030067443848,-0.4152106567170881,-84.58088214446461,-2055.5464060216996
99,10,04,-22.827792921278213,0.00041641683699431773,280.57268685099285,0.7210645005967883,2.825628423690796,7.428045012940301,-0.9555460617701211,-86.03809513480293,-1825.7118443377472
100,11,04,-22.61563266974555,0.000419912184460716,280.4944314419217,0.7363930500878229,3.0346904436747235,8.432920288764105,-1.8765529685762194,-86.90292529898399,-1614.5614752412562
101,12,04,-23.410548570760092,0.00043701061964115473,280.4934970174154,0.745897263039483,2.9187797705332437,8.627542467986213,-2.9950002207650077,-91.64601065847405,-1443.0328414961082
102,13,04,-23.654390773179795,0.0004554592326219386,280.57147119954425,0.7465187255859376,2.918741226196289,8.246280180040996,-3.712196184327867,-95.96011364920676,-1274.4100222678117
103,14,04,-24.639217458428277,0.0004645673918141862,280.66653211534293,0.7352725145975749,2.9184133529663088,8.308262938563029,-3.9155294972101844,-96.2125821064241,-1075.5234133912027
105,16,04,-23.28253507147895,0.0004807373744958871,281.19071199612085,0.7075992448170979,2.871311807632446,8.274575566016303,-2.9077849235110813,-103.24163866610687,-606.9047741785738
106,17,04,-22.338990816582573,0.0004996001728778638,281.412304788208,0.6987782614390057,3.0043833096822103,9.050243678008185,-1.2168898000505233,-112.52271175949903,-369.50566905237525
107,18,04,-22.07807122294108,0.0004940562113644773,281.6296074354384,0.6940219605763753,3.016113058725993,9.648931568590799,-0.01553708195156472,-123.98361876736128,-137.69378628610016
108,19,04,-22.19797490302192,0.0004900525768904724,281.77970027194556,0.6797154252370199,3.010989809036255,10.232472355333963,0.6985598011652634,-135.2041528242849,91.62075348470553
109,20,04,-21.70194012451172,0.0005111492543005726,281.9931324452718,0.685666341442532,2.9896480242411294,10.107636442396375,1.3157491720835377,-142.16380357138152,308.37462632644383
110,21,04,-20.97413618943956,0.0005296581966946785,282.15523934902615,0.6934431977166071,2.9757924397786457,9.964011251746284,2.3828981906678948,-143.51135661048173,515.3108202929861
111,22,04,-20.379147577582465,0.0005273475733143035,282.3099314629449,0.6930970041910808,2.9137391249338784,9.652880278820463,3.316317943191529,-142.49687175982834,713.9884754986838
112,23,04,-19.96781182963053,0.000538750997194034,282.38800066799587,0.6877018540700276,2.942915423711141,9.469062489212885,4.0500586918513,-146.20941236757025,897.3975156683628
113,24,04,-20.03575578511556,0.0005508496736403282,282.5021501356337,0.6837626772138808,2.8977391084035236,9.385851141060723,4.540534147495695,-153.82782166329775,1075.5047227728307
114,25,04,-19.745483407592772,0.000554017777725595,282.6342784573025,0.676662143919203,2.9345879475275676,9.444720342297025,4.626599482451547,-161.3012365936042,1261.8597130360988
115,26,04,-18.15318157382541,0.0005788902552509777,282.83691305881075,0.6844789831373427,3.126896373430888,10.025998507690428,5.444021005609302,-167.60824731647546,1447.915884023809
