prediction,ground_truth,years
73.981,129.276,1979
72.868,60.884,1981
79.812,100.241,1983
60.412,46.933,1985
58.891,43.856,1986
106.64,138.09,1988
50.528,39.598,1993
89.425,86.21,1994
74.627,93.823,1995
52.622,90.147,1996
62.517,47.177,1998
57.097,32.013,1999
83.686,97.659,2004
64.973,51.8,2005
117.897,118.733,2006
87.7,89.688,2009
74.241,50.924,2010
96.555,19.633,2011
98.496,84.929,2013
88.679,108.934,2018
