prediction,ground_truth,years
66.495,64.066,1981
58.491,25.706,1983
50.68,8.752,1984
60.063,44.886,1987
56.543,24.86,1989
68.331,84.707,1992
77.25,73.833,1996
81.765,100.107,1997
101.222,117.003,2001
45.091,27.186,2004
57.858,57.722,2005
79.7,61.943,2008
42.834,46.663,2012
75.887,64.977,2014
56.752,95.25,2015
57.711,54.397,2017
53.269,25.186,2018
65.649,62.833,2019
65.419,72.033,2020
53.504,54.731,2021
