prediction,ground_truth,years
64.932,67.697,1979
40.667,58.935,1981
91.363,78.447,1985
76.207,85.129,1987
55.134,25.092,1991
77.019,96.388,1993
89.288,113.681,1995
103.227,136.857,2000
90.624,107.32,2002
101.576,135.005,2003
73.405,88.291,2005
67.797,67.429,2008
84.394,58.13,2009
80.642,84.771,2010
80.911,82.321,2012
23.804,17.172,2014
56.093,61.068,2015
60.53,35.564,2016
65.385,42.98,2019
58.037,67.717,2020
