prediction,ground_truth,years
31.377,31.458,1981
105.147,111.479,1985
80.502,83.62,1986
53.749,70.204,1987
72.68,28.701,1989
43.394,64.471,1993
38.528,43.97,1995
86.44,61.548,1998
91.324,91.533,1999
31.677,46.356,2002
40.017,12.714,2007
38.508,28.11,2008
71.737,131.178,2011
73.725,74.456,2012
56.849,51.284,2013
36.189,1.687,2014
48.668,93.518,2015
40.365,31.567,2017
76.99,31.047,2018
26.566,32.619,2020
