prediction,ground_truth,years
95.106,33.817,1979
91.677,99.193,1980
50.47,53.237,1987
101.483,132.616,1989
112.57,43.21,1994
104.538,133.514,1996
58.095,45.937,1997
81.4,102.841,1998
87.233,84.259,1999
114.172,165.323,2002
102.215,105.896,2005
83.963,103.461,2007
53.023,65.573,2008
98.21,131.276,2010
84.373,56.86,2012
92.802,95.012,2014
80.485,56.239,2015
76.148,124.952,2017
63.635,16.858,2018
91.642,90.713,2020
