,pc1,target,phase_label,year_glvar
0,-6.725622294238093,93.396,1,1981
1,12.219591695298561,127.765,1,1984
2,28.503622667172305,118.281,1,1986
3,-9.377660702229532,24.55,1,1989
4,0.0962914362802053,62.735,1,1990
5,1.9078677225565992,65.731,1,1991
6,-4.501785356491779,40.056,1,1992
7,9.660325133364239,79.516,1,1993
8,11.643173069033645,85.403,1,1994
9,-11.242956469684206,16.128,1,1996
10,-18.788523285030156,47.352,1,2000
11,-14.472496177534472,67.263,1,2002
12,2.765876105409812,107.224,1,2004
13,6.63708659007089,53.984,1,2005
14,-22.84134426089759,18.287,1,2006
15,-0.902887721816474,98.91,1,2008
16,0.24919800251589364,59.608,1,2009
17,-20.54653307750097,71.904,1,2011
18,1.584957276490441,90.297,1,2012
19,21.592685022325252,94.423,1,2018
20,12.539164861098504,90.618,1,2021
0,1.0466705302014658,58.656,2,1980
1,-32.76992820642359,43.574,2,1982
2,18.092381314250634,104.552,2,1983
3,-18.1192246573011,62.145,2,1985
4,1.1596317325895247,40.212,2,1987
5,-7.0931688506968245,138.661,2,1988
6,7.964724107035581,129.885,2,1995
7,-19.475656495318397,8.558,2,1997
8,11.06632314263843,88.083,2,1998
9,12.054406222683424,91.58,2,1999
10,-17.77996602364318,85.522,2,2001
11,1.7056774125461247,73.574,2,2003
12,19.710807388313224,116.525,2,2007
13,-14.211411718749739,49.822,2,2010
14,-13.757418576039134,56.091,2,2013
15,23.023342778628333,90.505,2,2014
16,9.880222432886422,107.204,2,2015
17,32.072980410318756,107.938,2,2016
18,-10.158383902957079,56.353,2,2017
19,-5.8631685955664095,48.71,2,2019
20,1.4498311013341671,60.422,2,2020
