,pc1,target,phase_label,year_glvar
0,1.5417552493507705,42.983,1,1981
1,0.3703076243724604,61.249,1,1984
2,2.5299016071121883,9.737,1,1985
3,3.2621683644034842,5.396,1,1986
4,0.5141785757066266,59.844,1,1989
5,0.862318526020479,96.374,1,1990
6,1.6722697468989272,29.076,1,1991
7,3.42031240273407,32.844,1,1992
8,2.9989654287830456,36.5,1,1994
9,-1.9968744214753757,60.069,1,1996
10,-0.578333209630434,84.606,1,1997
11,-1.9170069203692524,98.677,1,2000
12,-1.8886138522838172,64.951,1,2004
13,-1.8262847376053037,50.053,1,2005
14,-1.3194554452232166,57.903,1,2006
15,-0.22254817388204737,39.917,1,2008
16,-0.6456698572749816,62.017,1,2009
17,-2.069960294394702,54.225,1,2011
18,0.5490798752675434,25.182,1,2012
19,-2.6775114828381312,67.993,1,2017
20,-2.5789990635318985,60.752,1,2021
0,-2.744149589423564,60.543,2,1980
1,-2.48735079672988,18.836,2,1982
2,-3.48383224888579,42.887,2,1983
3,-2.7183390187284773,35.931,2,1987
4,-0.1331971280135744,87.706,2,1988
5,-2.1556206818230397,24.723,2,1993
6,-0.2707452012421745,78.175,2,1995
7,-1.3217176558994217,20.72,2,1998
8,0.7765138511018753,56.135,2,1999
9,1.409410630759673,83.66,2,2001
10,1.770123824976343,111.308,2,2002
11,-2.5452237476350263,23.337,2,2003
12,2.909707589562284,88.808,2,2007
13,0.7304387791062641,91.629,2,2010
14,1.9583577615416905,42.502,2,2013
15,0.3448280458727855,81.808,2,2014
16,-0.463974889260541,54.846,2,2015
17,2.44010329694195,72.694,2,2016
18,-0.5505603069831605,28.985,2,2018
19,0.9263368481045613,53.845,2,2019
20,5.608890604712935,131.383,2,2020
