,dataset,last_val_loss
5716,MER-RH-SH-t2m-TCC-TCWV-tp-UW-VW-MSLP,567.1629028320312
6847,MSSHF-RH-SH-TCC-TCWV-tp-VW-MSLP-SST,568.2274169921875
50,MER-MSSHF-RH-t2m-TCC-TCWV-UW-VW-MSLP-Z500,568.5575561523438
289,MER-MSSHF-RH-SH-t2m-UW-VW-MSLP-SST,569.4383544921875
3485,MER-SH-TCC-TCWV-UW-VW-MSLP-SST-Z500,569.8504028320312
6071,RH-SH-t2m-TCWV-UW-VW-MSLP,570.2286987304688
5594,MSSHF-RH-t2m-TCC-TCWV-UW-VW-MSLP-Z500,570.4072875976562
1011,MER-MSSHF-RH-SH-t2m-TCWV-UW-VW-SST,570.5162353515625
4052,MER-MSSHF-SH-t2m-TCC-UW-VW-Z500,571.1484985351562
4309,MER-RH-TCC-tp-UW-VW-MSLP-Z500,571.2816162109375
283,MER-SH-t2m-TCC-TCWV-tp-UW-VW-MSLP,571.3106079101562
6859,MER-RH-TCC-TCWV-UW-VW-MSLP-Z500,571.5436401367188
5895,RH-SH-t2m-TCC-TCWV-tp-UW-VW-SST-Z500,571.955810546875
4539,MER-MSSHF-RH-TCC-UW-VW-MSLP-SST,572.052734375
2839,MER-MSSHF-RH-SH-t2m-TCC-VW-MSLP-SST,572.1333618164062
5387,t2m-TCC-TCWV-tp-UW-VW-MSLP-SST,572.5567626953125
6564,MER-MSSHF-t2m-TCC-tp-UW-VW-Z500,572.8114013671875
3698,MER-MSSHF-SH-t2m-TCC-TCWV-tp-UW-MSLP,573.1229858398438
144,MER-MSSHF-RH-SH-t2m-tp-VW-MSLP,573.34912109375
1871,MER-RH-SH-t2m-TCC-UW-VW-SST,573.6932983398438
3456,MER-MSSHF-RH-TCC-tp-UW-VW-MSLP-Z500,573.977294921875
6387,MSSHF-RH-SH-t2m-TCC-tp-UW-VW-MSLP,574.1700439453125
3271,MER-MSSHF-RH-SH-t2m-tp-UW-VW-MSLP-SST,574.1898193359375
3879,MSSHF-t2m-TCC-TCWV-tp-UW-VW-MSLP,574.24755859375
4196,MER-MSSHF-RH-t2m-TCC-UW-VW-Z500,574.3530883789062
3058,MER-MSSHF-RH-TCC-TCWV-tp-UW-VW-Z500,574.3829345703125
2562,MER-MSSHF-RH-SH-TCC-TCWV-tp-VW-SST,574.6451416015625
781,MER-MSSHF-SH-t2m-TCC-TCWV-tp-UW-SST,575.0059814453125
1534,MER-MSSHF-RH-TCC-TCWV-tp-UW-MSLP-Z500,575.251708984375
3838,MSSHF-t2m-TCC-TCWV-tp-UW-VW-MSLP-SST,575.3881225585938
