,1,2,3,4,5,6,7,8,9,10,11,12
MER,1177.0702080280319,768.4498992676096,898.6655437232555,844.3916257157283,829.7808904426614,995.3085474147433,1646.3556199741633,1713.981908323017,1528.7141020551417,1357.717329055751,792.4381885638087,1015.0216989327166
MSSHF,957.7013108203104,882.9233122862189,835.090356692195,843.6704254964418,866.8912892593924,893.0279636072966,1601.9926412633565,1692.2279938398674,1408.676607517741,1433.0195613177816,756.568789569103,866.116103464762
RH,1035.4697930412665,871.4369392027173,940.4913138608435,866.7266507674382,915.3446863963701,957.7642540449297,1707.2334901625582,1450.0572946153832,1491.1436491403151,1271.2961158177795,741.7906233002867,1009.3322454264938
SD,1067.0537193835135,1065.3827773059543,886.7512718781743,1174.3934098312495,905.2920037717186,48117.1058497417,1561.9625711853244,1617.4440055107323,1342.343568121929,1226.5244187819599,834.3128194199351,947.0505745871583
SH,897.9598994188716,805.7025206650353,884.0499120599549,880.9846343882315,829.2684708896935,935.9645636519899,1521.5286029235667,1710.8484937243227,1566.6189341423153,1170.127204937152,780.4649391497237,764.5947358349565
t2m,984.3677524356905,916.011278415496,852.1751317885686,851.8664268723799,838.3284927020455,993.668202597765,1730.9775179955873,1724.9115762110773,1669.6393331441764,1247.5031448479353,764.2002396059379,778.728776940451
TCC,1105.521913039254,867.158974884867,947.6652009198451,889.958499468284,911.0005950302283,911.8304033691072,1530.1854680480258,1648.606725669142,1497.3838363900222,1224.289614275028,727.5101221551259,1013.2103436524498
TCWV,936.9901486929242,887.8560681023528,892.7469949509721,878.28759595059,835.879289488543,889.6666161630284,1729.9956825227778,1761.5143884703893,1407.544540795719,1375.3114437103043,779.093320262445,736.5444101525568
tp,960.5522525052584,901.5693481130164,851.6033060123366,852.4703126918704,840.4519834401842,929.7812427675659,1707.68058492448,1399.012478858128,1424.6426766939203,1277.40266899757,721.8269351028496,1040.7514911582261
UW,938.1584296265262,885.747699309951,845.5399119678569,866.5210854308716,887.7143559862901,898.0780949173188,1569.773645343851,1748.2969616390346,1414.6159167197575,1155.3777536718678,790.613094687524,1109.9778210416957
VW,957.5569343472804,936.0244682304722,876.7001357434968,876.938643768753,900.7617590298055,969.1874969156494,1616.9614668453007,1704.4782100580135,1576.3482534847035,1303.4555815242995,829.4493538818957,996.9406202665947
MER-MSSHF,1247.1875276022365,1056.8965812486665,1231.4435498369821,889.069250510065,820.1064827607117,1047.6716331732157,1851.1591817327176,2038.6716837000768,1693.619735655912,1780.7187937679032,942.5039378533428,1111.7218288610256
MER-RH,1074.7524569726058,900.2078769722771,1039.6197306503502,1029.5663510936563,1021.2175888983759,1051.0793982691812,2019.573896836113,1541.438843910723,1647.9713884599867,1656.6004823969058,753.7296922722655,961.1633674528549
MER-SD,1763.6169284144435,1183.2625602781275,1095.6265735968766,1689.8207221609944,1044.0435298898312,3127.864926089468,1660.6478708257293,1709.3353093956616,1527.7101188532567,1348.0143433348146,10456.574834635006,1585.9780724311468
MER-SH,1132.2788335427426,874.6479721042872,1019.4254923746944,1196.1893165594483,832.612397251312,1175.5266965905746,1681.1604676431843,1713.322131101358,1557.091729525719,1433.2200169104249,787.5961021965695,983.3803236944262
