,pc1,target,phase_label,year_glvar
0,17.36722384768119,79.103,1,1981
1,11.834174857065502,59.341,1,1983
2,12.909578428196129,73.801,1,1985
3,-9.10032846884873,43.995,1,1988
4,-4.815094398285131,36.577,1,1989
5,-13.570585988573045,32.26,1,1995
6,31.344902153380055,130.482,1,1996
7,1.8558065732684976,92.019,1,1998
8,-8.262147280563203,52.177,1,1999
9,24.559272101217903,131.48,1,2000
10,1.075118688864669,66.791,1,2005
11,-14.990920059655807,63.658,1,2007
12,1.49802320002893,87.04,1,2008
13,-17.402463784142913,80.795,1,2010
14,-21.549005766748675,17.077,1,2011
15,6.405037693860456,62.3,1,2012
16,-2.9736339376088092,95.385,1,2013
17,1.66009611955334,75.849,1,2016
18,0.8585359134757832,71.566,1,2017
19,-5.984554470945293,45.381,1,2020
20,-12.719206215418707,67.495,1,2021
0,-0.4274229062325119,72.959,2,1980
1,0.26293867342620086,70.765,2,1982
2,-0.8747584955493521,78.441,2,1984
3,5.216297618629126,84.644,2,1986
4,-1.0726487444063535,110.221,2,1987
5,-8.37103418111872,88.055,2,1990
6,12.102804896415613,121.381,2,1991
7,4.246223141085183,114.02,2,1992
8,-14.285914164067911,62.847,2,1993
9,0.320466074772132,50.598,2,1994
10,-7.653269189327331,56.974,2,1997
11,6.6435005389179755,85.69,2,2001
12,7.638969719348955,88.661,2,2002
13,-4.225276827645527,56.468,2,2003
14,-5.458075445994198,66.664,2,2004
15,7.004821736002773,79.284,2,2006
16,12.298595092839284,119.023,2,2009
17,-7.987949742231594,64.116,2,2014
18,6.318718349887229,119.425,2,2015
19,-5.371677148223652,34.97,2,2018
20,-6.325774796424151,74.313,2,2019
