,loss,val_loss
0,5709.2978515625,4683.82177734375
1,3601.511474609375,2487.733154296875
2,1868.4842529296875,1301.0682373046875
3,1266.37646484375,1001.8743286132812
4,1145.8707275390625,1058.146240234375
5,1091.85107421875,1088.2119140625
6,1063.2882080078125,1107.8314208984375
7,1068.54833984375,1097.762451171875
8,1058.5855712890625,1140.7554931640625
9,1050.2529296875,1126.125732421875
10,1050.311279296875,1125.1182861328125
11,1030.26318359375,1107.0972900390625
12,1028.504638671875,1108.6263427734375
13,1023.4727783203125,1140.1505126953125
