,loss,val_loss
0,5783.134765625,4789.69580078125
1,3964.288330078125,2820.5185546875
2,2157.419189453125,1432.4281005859375
3,1204.306884765625,1036.6593017578125
4,1033.9248046875,1012.4578247070312
5,1028.5042724609375,1018.4132080078125
6,1023.8869018554688,1016.6783447265625
7,1020.1009521484375,1028.4111328125
8,1009.5881958007812,1023.6251831054688
9,1008.227783203125,1024.78173828125
10,1002.8286743164062,1023.7295532226562
11,995.7525024414062,1025.8779296875
12,994.5007934570312,1017.6467895507812
13,992.2235717773438,1019.89990234375
14,989.3027954101562,1020.1370849609375
