,loss,val_loss
0,5587.07177734375,3491.958740234375
1,3166.82275390625,1579.22265625
2,1421.5103759765625,1060.9586181640625
3,1056.9796142578125,1239.5361328125
4,1066.8145751953125,1242.21044921875
5,1044.36328125,1192.3773193359375
6,1019.6416625976562,1153.4598388671875
7,1006.7211303710938,1122.193115234375
8,1001.1834716796875,1121.674560546875
9,998.2429809570312,1116.6357421875
10,995.7498168945312,1127.9156494140625
11,992.9358520507812,1118.974609375
12,982.1953735351562,1122.030029296875
