,loss,val_loss
0,5186.02880859375,4966.328125
1,3172.737060546875,2676.8583984375
2,1576.46142578125,1499.999755859375
3,1096.2650146484375,1235.1885986328125
4,1078.0338134765625,1218.410400390625
5,1062.4090576171875,1246.546142578125
6,1046.8736572265625,1268.6348876953125
7,1044.822998046875,1274.3245849609375
8,1042.4188232421875,1248.6085205078125
9,1044.6771240234375,1262.708740234375
10,1040.02783203125,1248.0284423828125
11,1035.5723876953125,1258.577880859375
12,1031.406494140625,1275.7806396484375
13,1031.6961669921875,1267.0860595703125
14,1030.333740234375,1264.69140625
