,loss,val_loss
0,5526.48779296875,3870.868896484375
1,2955.19873046875,1794.3314208984375
2,1306.3868408203125,1198.8734130859375
3,1076.422607421875,1284.9169921875
4,1082.62353515625,1239.718994140625
5,1043.3865966796875,1202.7677001953125
6,1027.2120361328125,1203.5716552734375
7,1028.293212890625,1208.6861572265625
8,1026.376220703125,1219.4378662109375
9,1028.333740234375,1221.64892578125
10,1017.6396484375,1217.0714111328125
11,1012.97802734375,1234.3021240234375
12,1018.7081909179688,1236.8082275390625
