,pc1,target,phase_label,year_glvar
0,-9.42500415695441,42.983,1,1981
1,-7.200019446688442,18.836,1,1982
2,-10.90220524231233,42.887,1,1983
3,-3.3826450916112663,61.249,1,1984
4,5.46446545670932,59.844,1,1989
5,-8.75303906885161,32.844,1,1992
6,-13.799166284632578,24.723,1,1993
7,-6.255842713766627,36.5,1,1994
8,4.059312634564273,78.175,1,1995
9,2.8253109418537585,56.135,1,1999
10,9.297870231969739,98.677,1,2000
11,4.182567563606382,111.308,1,2002
12,-4.99248417609458,23.337,1,2003
13,3.67998131430599,64.951,1,2004
14,-4.056513916044589,50.053,1,2005
15,6.1608236383912365,88.808,1,2007
16,6.80046140415062,54.225,1,2011
17,0.012412720612966088,54.846,1,2015
18,6.518895611227944,72.694,1,2016
19,8.084992479453843,53.845,1,2019
20,11.679825891567381,131.383,1,2020
0,0.5917494720599831,60.543,2,1980
1,4.8963419605118315,9.737,2,1985
2,5.934149983831507,5.396,2,1986
3,4.929527854737873,35.931,2,1987
4,-2.1976460311771806,87.706,2,1988
5,0.7281060883214167,96.374,2,1990
6,3.7101061315857504,29.076,2,1991
7,1.6974862685915684,60.069,2,1996
8,-1.5350818706854177,84.606,2,1997
9,3.901226091942308,20.72,2,1998
10,-4.753409097975308,83.66,2,2001
11,-2.891403881678242,57.903,2,2006
12,0.9843490255392963,39.917,2,2008
13,-1.784011599540426,62.017,2,2009
14,-1.8500855480785414,91.629,2,2010
15,2.6618044071310125,25.182,2,2012
16,-0.5807799778829156,42.502,2,2013
17,-6.66077577473915,81.808,2,2014
18,-4.520045225883099,67.993,2,2017
19,2.160275586877826,28.985,2,2018
20,-5.421883668593591,60.752,2,2021
