,loss,val_loss
0,5081.44384765625,3137.735595703125
1,2019.0020751953125,1381.727783203125
2,1502.587646484375,1463.4580078125
3,1261.73193359375,1102.0777587890625
4,1146.8948974609375,1039.3818359375
5,1097.7623291015625,1106.7340087890625
6,1083.0177001953125,1147.142578125
7,1063.3798828125,1125.098388671875
8,1054.6444091796875,1109.20751953125
9,1035.7908935546875,1160.4854736328125
10,1013.5413208007812,1197.6224365234375
11,1011.4472045898438,1141.149169921875
12,1030.3406982421875,1128.4920654296875
13,1035.07080078125,1249.23828125
14,1119.440673828125,1197.7802734375
