,loss,val_loss
0,5447.38427734375,4653.15283203125
1,3091.292236328125,2231.480712890625
2,1458.6357421875,1138.7930908203125
3,1071.822509765625,1000.926513671875
4,1082.3863525390625,999.1527709960938
5,1070.5035400390625,1031.147705078125
6,1044.30859375,1027.039794921875
7,1032.0423583984375,1056.4423828125
8,1030.7213134765625,1051.7982177734375
9,1031.203369140625,1035.26025390625
10,1027.5965576171875,1035.1119384765625
11,1027.140869140625,1033.9613037109375
12,1037.3863525390625,1027.0107421875
13,1032.0831298828125,1054.2410888671875
14,1026.5736083984375,1036.0198974609375
