,target
0,64.06647849082947
1,68.29040312767029
2,61.59665608406067
3,63.72679305076599
4,63.4259090423584
5,62.71183800697327
6,66.22366833686829
9,76.98799920082092
10,82.35646843910217
11,82.44584345817566
13,84.08836913108826
15,72.2264678478241
18,68.21162867546082
19,68.40748858451843
20,72.60965466499329
21,76.72231721878052
23,73.98541212081909
24,84.46534967422485
26,95.15413475036621
27,105.28715419769287
28,106.05837798118591
29,106.37167620658875
32,103.18551015853882
35,102.3204140663147
36,102.56467151641846
37,102.58109617233276
38,89.5577392578125
39,88.85291719436646
40,83.4820294380188
41,84.51880836486816
42,83.30102968215942
43,78.72942733764648
44,66.62642812728882
45,65.61533689498901
46,66.30147504806519
48,66.29636478424072
50,68.31156492233276
51,66.85013794898987
53,73.94362282752991
54,66.6015613079071
55,67.33486342430115
56,61.32908797264099
57,52.487542152404785
58,57.178643226623535
59,57.77367043495178
61,78.18642735481262
62,84.86218166351318
63,82.63904666900635
64,85.18192481994629
65,87.74324607849121
66,84.7050371170044
67,84.61247491836548
68,84.51408243179321
70,84.76885271072388
71,91.0407133102417
72,87.56339311599731
73,87.56223678588867
75,86.31132221221924
76,86.13935422897339
77,90.13149929046631
78,90.48339176177979
79,90.32969427108765
80,89.68944072723389
81,89.27377319335938
82,87.41217374801636
83,88.28746271133423
85,88.03763842582703
86,93.80689120292664
87,97.95749521255493
88,93.41856384277344
89,100.17751479148865
91,84.81925129890442
92,85.3855402469635
94,80.01544690132141
95,85.94245648384094
96,85.34420275688171
97,85.31240391731262
98,89.89770722389221
99,90.78560781478882
100,91.07196998596191
101,84.46115159988403
102,91.4229063987732
103,92.24549770355225
105,113.90052390098572
106,116.56492018699646
107,112.25292086601257
108,111.99677157402039
109,112.01003623008728
110,106.22312808036804
111,103.9297993183136
112,102.90052437782288
113,99.009104013443
114,96.86967873573303
115,98.33213186264038
116,95.11264657974243
117,90.27972221374512
118,89.40411949157715
119,81.26213359832764
120,81.18394136428833
122,67.96899271011353
123,68.22279834747314
124,67.74017524719238
125,58.80462837219238
126,58.6978120803833
127,58.61621952056885
128,56.53753328323364
129,56.469056367874146
130,57.38265538215637
133,49.18634009361267
134,37.25440192222595
135,27.85776948928833
136,24.54487371444702
137,26.350274085998535
138,27.6017427444458
139,30.59356927871704
140,31.153985738754272
141,31.754679918289185
142,33.61404013633728
144,34.74524426460266
145,29.182403326034546
146,27.210105657577515
150,33.386974573135376
151,33.81735014915466
152,35.37973666191101
153,43.39892077445984
154,44.33173584938049
155,51.2319118976593
156,51.87344002723694
158,49.72744584083557
159,54.93186593055725
162,75.11514163017273
164,78.27921605110168
166,79.50399518013
167,77.8828752040863
168,76.56278824806213
169,78.89106965065002
171,78.50925207138062
172,77.23036193847656
173,78.67777156829834
174,78.16097640991211
175,84.65104293823242
176,88.35323524475098
177,91.91790580749512
178,94.97978496551514
179,95.5494818687439
180,88.36337757110596
182,84.32366418838501
183,76.08718538284302
184,75.65994119644165
185,77.61181402206421
186,87.25871992111206
187,87.5166244506836
188,87.18639492988586
189,81.13818621635437
190,77.98808121681213
191,62.098395586013794
194,57.74524712562561
196,56.339861154556274
197,56.6356155872345
198,56.81112861633301
199,51.49151372909546
200,51.18135404586792
201,53.26530647277832
202,58.74004650115967
203,59.25136995315552
204,59.905399799346924
205,52.669118881225586
206,47.20458221435547
207,45.2629919052124
208,42.15389060974121
209,41.26400327682495
210,43.00623273849487
211,43.055492877960205
214,42.387043952941895
215,33.519068241119385
217,33.074148416519165
218,36.89646053314209
219,37.228360652923584
220,37.24459362030029
221,36.48247528076172
222,37.17558002471924
224,39.52366542816162
225,45.33559274673462
226,50.11335277557373
227,57.91076612472534
228,61.83722901344299
229,62.68617510795593
230,63.051788568496704
231,62.97272753715515
232,56.90659689903259
233,53.696130990982056
234,52.24262547492981
235,51.87247967720032
236,51.198551416397095
237,49.975794076919556
238,49.87081170082092
239,49.18398833274841
240,47.025453329086304
241,47.161773920059204
242,49.734859466552734
243,50.25094985961914
244,56.92086672782898
247,54.62719106674194
248,61.056976318359375
249,67.19616460800171
250,72.71626329421997
251,79.28131198883057
252,80.48818302154541
253,84.19270515441895
255,81.97009801864624
256,84.57394027709961
258,75.15899276733398
259,75.33616662025452
260,75.16308283805847
262,78.044504404068
263,78.82404804229736
264,79.16033124923706
265,79.22549104690552
267,80.13495182991028
268,80.49456191062927
269,80.67442107200623
271,84.0924723148346
272,81.56209993362427
274,76.8632504940033
275,75.59452366828918
276,75.30661988258362
277,71.2135841846466
278,60.95715641975403
279,57.840681314468384
283,54.801299810409546
284,57.33358120918274
285,65.40889382362366
287,66.01350617408752
288,80.08751130104065
291,93.90520095825195
294,95.32820105552673
296,96.16466522216797
297,99.89510297775269
298,101.66461205482483
300,100.9345235824585
301,104.20726537704468
302,125.05058193206787
303,128.65678215026855
305,130.17099332809448
308,137.71667575836182
310,147.05733394622803
311,147.93940925598145
312,147.35100317001343
313,135.5355668067932
314,130.03378057479858
315,119.59610605239868
317,110.96516299247742
318,94.28144717216492
320,80.59621977806091
321,79.28472995758057
322,73.41331171989441
323,72.51095414161682
324,71.25299191474915
325,71.1754400730133
327,72.68596029281616
329,69.83279609680176
330,71.154128074646
332,47.597179889678955
333,47.0416841506958
335,43.750651359558105
336,55.268786907196045
339,60.72005844116211
340,64.80131530761719
341,74.32776069641113
342,76.36395168304443
343,77.34762740135193
344,79.07115387916565
346,83.21180987358093
347,84.32642793655396
350,85.03397560119629
351,87.31101441383362
352,87.76317596435547
353,87.95352935791016
354,88.76541900634766
355,88.26108455657959
356,81.64767360687256
357,81.31570219993591
358,81.11235451698303
359,82.70341634750366
360,81.36760759353638
361,80.74162864685059
362,80.26827812194824
363,77.3093774318695
364,76.65013194084167
365,75.44787120819092
366,60.72524881362915
367,61.001230239868164
368,51.359267234802246
370,35.193991899490356
371,28.80025005340576
372,31.733417510986328
373,31.927042245864868
