,pc1,target,phase_label,year_glvar
0,-1.6151477759195356,35.431,1,1982
1,1.7600675921362336,21.79,1,1984
2,3.3422368219242835,78.559,1,1985
3,4.9934439978982095,64.688,1,1986
4,5.0817144385451165,78.439,1,1989
5,4.627564583690115,85.773,1,1994
6,-7.50628316858651,11.86,1,1996
7,-3.3992076425020534,28.147,1,1997
8,1.9385003472630005,65.297,1,1999
9,1.4078100942867586,76.353,1,2000
10,2.654429241190996,95.436,1,2001
11,-4.474912841138945,60.53,1,2002
12,-4.096903995950695,51.755,1,2006
13,-0.16763199307533877,37.054,1,2008
14,-0.5071935557841403,23.97,1,2009
15,-7.422823227833396,17.259,1,2011
16,1.7396944618389434,93.777,1,2012
17,2.632677866387818,52.13,1,2014
18,-0.9549428729348667,30.591,1,2017
19,1.9973997527807739,102.506,1,2018
20,-2.0304920395231782,51.776,1,2021
0,-7.856503888998454,41.59,2,1980
1,-30.40845022405909,35.788,2,1981
2,46.355006579212855,105.42,2,1983
3,10.000042016293662,33.606,2,1987
4,-6.172308261465745,27.742,2,1988
5,-15.452686292486002,64.463,2,1990
6,-15.193019024697131,46.967,2,1991
7,13.959790869818443,57.617,2,1992
8,-5.138657457048112,50.114,2,1993
9,-4.076119816593393,42.515,2,1995
10,48.04041030087549,131.575,2,1998
11,-4.672704428330597,51.564,2,2003
12,-11.964213117166624,45.281,2,2004
13,-11.449588821341592,77.407,2,2005
14,-5.754271394897012,1.605,2,2007
15,1.8655883580636754,27.16,2,2010
16,-12.580381717909516,31.149,2,2013
17,-6.8442783735329895,27.186,2,2015
18,27.27554913170994,67.439,2,2016
19,-1.5410916937727772,32.685,2,2019
20,-8.392112389187986,24.385,2,2020
