,pc1,target,phase_label,year_glvar
0,18.130159863082522,107.769,1,1980
1,392.65841484412124,150.743,1,1981
2,-0.5461431447866552,104.269,1,1982
3,-121.32107058089285,59.157,1,1983
4,150.39290097153298,95.183,1,1984
5,-307.45656669970793,36.531,1,1985
6,125.67613425023806,94.807,1,1986
7,-77.00326759299416,102.308,1,1987
8,209.02842819013821,78.906,1,1989
9,-67.89564679965589,70.054,1,1990
10,-358.7975233060792,48.361,1,1991
11,-101.85917670631638,99.88,1,1992
12,-113.53793380274806,80.441,1,1993
13,-318.1360142163092,18.716,1,1995
14,272.54464458825464,73.76,1,1996
15,-141.80013025514054,81.025,1,1997
16,336.65039408472313,130.409,1,2000
17,34.20230428398673,87.438,1,2002
18,-115.95279908534778,55.873,1,2004
19,-197.54462371605138,38.236,1,2007
20,382.5679842001497,135.237,1,2013
0,-86.12688677293089,79.42,2,1988
1,-83.41379124845537,97.19,2,1994
2,-333.8263207490328,178.649,2,1998
3,141.8105986579324,65.748,2,1999
4,57.33636894216748,73.237,2,2001
5,-14.08797321369531,74.576,2,2003
6,131.97377289774843,58.746,2,2005
7,-57.741026473529004,104.882,2,2006
8,79.22224914932039,92.717,2,2008
9,-22.3047826855686,74.388,2,2009
10,226.7566021940531,76.197,2,2010
11,53.4870368148202,69.306,2,2011
12,-233.75629835645827,131.109,2,2012
13,61.415990404683924,79.961,2,2014
14,147.97408540476485,34.891,2,2015
15,86.41900086207637,57.946,2,2016
16,14.104360553759852,63.675,2,2017
17,234.78827748079786,34.768,2,2018
18,-164.0464819867425,119.963,2,2019
19,-138.3624207754776,137.807,2,2020
20,-101.61725993936074,138.243,2,2021
