prediction,ground_truth,years
100.787,148.656,1981
97.232,95.177,1983
59.235,36.249,1984
98.045,78.618,1986
51.983,18.334,1988
73.531,64.445,1990
62.866,65.509,1992
100.22,126.776,1996
57.518,87.437,1998
95.671,66.299,2000
73.785,55.821,2002
74.392,131.031,2005
95.379,132.025,2007
93.735,79.961,2008
65.662,34.891,2010
79.575,57.939,2011
65.119,61.298,2014
77.837,33.913,2018
103.116,119.963,2020
119.05,129.731,2021
