prediction,ground_truth,years
46.196,44.914,1979
59.935,44.795,1982
80.323,122.532,1986
111.724,118.14,1987
59.479,44.249,1993
30.213,24.643,1997
50.105,88.181,1999
81.828,129.82,2000
31.073,17.043,2002
33.085,8.216,2003
87.261,91.838,2005
49.539,44.752,2006
83.815,52.892,2008
58.455,21.678,2009
121.827,119.979,2010
64.49,47.267,2011
54.916,71.974,2012
94.61,90.612,2015
93.588,93.15,2017
85.984,45.987,2019
