prediction,ground_truth,years
55.773,86.825,1979
69.077,60.892,1988
90.675,88.64,1990
69.872,61.924,1993
97.142,88.686,1995
90.547,95.578,1999
64.602,51.636,2000
55.67,71.165,2005
85.114,98.112,2006
84.647,155.714,2008
88.686,108.889,2010
69.141,51.695,2011
82.01,114.838,2012
115.63,146.431,2013
89.39,79.076,2014
109.322,118.723,2016
111.228,105.351,2018
90.174,59.823,2019
91.362,97.052,2020
104.755,89.055,2021
