prediction,ground_truth
79.641,53.863
77.541,86.247
87.427,132.616
136.686,150.894
75.449,43.21
72.543,82.072
45.141,62.719
80.572,133.514
104.825,20.584
55.655,58.396
70.6,72.273
70.468,87.277
83.065,76.175
83.716,104.047
36.097,25.254
89.033,105.896
115.218,163.606
41.009,16.858
75.437,44.461
76.411,90.713
