prediction,ground_truth,years
67.354,81.184,1979
50.834,75.608,1985
79.049,93.323,1986
66.742,30.252,1987
70.281,67.743,1990
71.993,52.816,1993
67.324,49.738,1995
71.331,111.581,2000
106.754,128.306,2002
67.737,85.983,2007
56.848,52.006,2008
89.53,76.224,2009
70.515,35.737,2010
67.712,71.398,2012
49.188,35.806,2013
81.522,106.853,2015
51.948,33.564,2016
54.88,63.125,2017
77.169,51.125,2018
108.905,108.774,2021
