prediction,ground_truth,years
82.139,43.057,1981
97.885,100.648,1984
70.404,88.344,1985
90.687,148.966,1988
93.199,108.858,1995
93.086,74.677,1996
113.367,82.683,1999
66.213,74.095,2000
65.711,34.116,2002
82.836,64.46,2003
103.095,89.441,2004
76.093,69.857,2012
88.505,83.628,2013
111.464,82.161,2014
66.03,26.536,2015
74.509,27.958,2016
103.598,68.326,2017
92.282,111.429,2018
66.688,61.486,2019
77.312,32.292,2021
