prediction,ground_truth,years
98.156,94.676,1979
48.957,63.013,1981
65.53,48.019,1982
68.677,66.792,1988
52.878,14.068,1989
84.821,71.915,1992
79.51,94.805,1993
75.845,44.464,1997
63.088,63.222,1998
77.004,64.496,1999
66.978,109.183,2001
68.284,53.518,2002
61.233,32.73,2003
83.056,64.149,2004
70.347,89.371,2006
106.746,111.146,2007
57.628,52.531,2010
60.177,37.111,2013
80.46,43.269,2014
24.952,17.802,2016
