prediction,ground_truth
53.544,43.787
33.164,25.706
50.317,44.886
104.909,103.82
39.717,33.078
38.549,60.069
38.334,23.788
78.835,73.833
56.297,100.107
74.596,86.243
49.364,27.186
47.568,46.663
59.15,95.25
51.764,54.397
41.531,25.186
64.308,62.833
58.935,76.232
45.758,35.659
110.413,132.431
76.142,60.951
