prediction,ground_truth
108.879,129.276
63.076,60.884
103.068,82.614
71.51,54.506
79.503,100.241
66.313,46.933
77.893,69.984
86.601,138.09
59.753,39.598
54.927,45.02
72.765,93.823
64.735,47.177
90.638,95.456
36.951,32.013
51.538,51.8
105.752,133.389
89.404,118.733
76.807,50.924
81.225,108.934
65.838,67.149
