prediction,ground_truth
96.503,81.061
42.755,58.935
87.047,78.447
80.29,85.129
44.28,39.67
92.066,96.388
67.912,57.033
74.198,65.107
40.351,54.802
70.112,52.252
59.12,82.306
103.72,88.291
70.603,67.429
101.126,84.771
92.743,119.318
105.327,82.321
88.222,97.755
108.141,106.842
82.453,75.837
68.736,67.717
