prediction,ground_truth
37.301,38.57
23.665,31.458
100.508,111.479
39.584,23.397
24.15,30.707
39.872,43.97
64.32,61.548
64.029,91.533
25.77,46.356
26.775,12.714
94.219,131.178
44.57,54.219
65.675,78.476
19.676,1.687
54.402,23.836
37.821,31.567
40.198,50.44
45.909,67.298
60.309,31.047
63.558,81.565
