,loss,val_loss
0,5501.7314453125,4000.76806640625
1,3041.713134765625,1986.491943359375
2,1482.3856201171875,1284.2298583984375
3,1002.164794921875,1387.632080078125
4,997.6559448242188,1360.94140625
5,960.7347412109375,1316.502685546875
6,940.6945190429688,1317.77734375
7,927.9716186523438,1301.166015625
8,921.1369018554688,1305.50439453125
9,916.6358032226562,1309.804931640625
10,917.8854370117188,1304.859130859375
11,890.0099487304688,1312.9974365234375
12,886.0648193359375,1320.4356689453125
