,beginning_day,beginning_month,beginning_year,MSSHF,SH,t2m,TCC,tp,UW,VW,msl,z
15,16,01,1979,3.6946712541368267,0.00041506394258734397,272.3027448286268,0.845411059697469,89.08581757545471,9.114504930072362,1.3411645144568551,373.5599449666485,-12660.087273240864
16,17,01,1979,3.708333949788411,0.00041219421312505727,272.22605569831,0.8455065140194363,88.3745219707489,9.47377364961836,1.3734438547134402,356.84129019204045,-12623.189733500905
17,18,01,1979,3.2752656765407977,0.00041852897568070375,272.1077035073174,0.8527798123677572,88.51568913459778,9.896383303409152,1.549289164288839,343.0478768240732,-12590.19901333652
19,20,01,1979,2.979568941582573,0.00039114273936722335,271.97301141671073,0.8521653873019748,82.82118439674377,9.681636120478313,1.0435191987143624,322.84476270785433,-12580.992797200945
20,21,01,1979,3.204465927802191,0.0003967461690992397,271.9976699829525,0.8477616401672363,82.19837546348572,9.35443621489207,0.893243000178867,316.07489469595725,-12560.464729372803
21,22,01,1979,3.7304906826443136,0.0003790106098135235,272.0502717587789,0.841837659878201,82.21973919868469,8.937411045922174,0.9715785015106202,314.1687431562772,-12483.212976938636
23,24,01,1979,4.248164294772677,0.0003594250667205996,272.17848202908834,0.8326481257544622,76.21281123161316,8.40465208252801,0.5126881683985395,311.29324669660724,-12262.36679524135
24,25,01,1979,3.923046673583984,0.00034705231053518826,272.1824766541799,0.8253194885677763,72.00659012794495,7.19046400258806,-0.5918117559644909,306.6215321596184,-12139.026772878646
25,26,01,1979,3.03893484802246,0.00035733561133720283,272.1491186650594,0.8308297228919135,67.76193904876709,6.315679399956597,-1.252892931132846,302.15542142774433,-12007.9999468615
26,27,01,1979,2.9114476579454207,0.0003711028438143634,272.2411478875054,0.8374922328948975,67.74405288696289,5.847473672464159,-1.6417186144510902,295.6325224350766,-11900.73818312686
27,28,01,1979,3.5482362253824866,0.00037794885605794157,272.49477869703503,0.8369009550730387,67.72281193733215,5.806986887995402,-1.8654056182437473,285.5399410925091,-11823.078182320545
29,30,01,1979,4.013312819417317,0.00038362105839533897,272.6475648398081,0.8159002742767334,64.06647849082947,5.778870694287618,-1.8495992233488294,269.07559160983027,-11732.759771914521
31,01,02,1979,4.609528179253472,0.0004088917088684462,272.93467645517984,0.8236528920067682,61.59665608406067,5.662877806578742,-1.8119910881042478,278.6603622162476,-11705.883673006172
32,02,02,1979,4.306689150322808,0.0004167771330292984,273.0227071204291,0.8166127799987793,63.72679305076599,5.8046319024615824,-1.4188320801205103,288.41270972371507,-11666.969508772007
33,03,02,1979,3.051519611952039,0.00041582630266525993,273.04024176368716,0.8060387011633979,63.4259090423584,5.269524473826091,-1.1158555997000799,296.35684885296564,-11611.436135398593
34,04,02,1979,2.9954824140760627,0.00041128249191101025,273.1219706294166,0.7959181521945529,62.71183800697327,4.875619473584493,-0.601768381966485,299.4642004524746,-11532.19292469275
35,05,02,1979,3.3480698059082026,0.00040694503889343044,273.2721801621755,0.790612786271837,66.22366833686829,5.170734781583151,0.13312857324812147,297.9062278184674,-11457.625167477367
38,08,02,1979,5.06375287238227,0.000419359342845731,273.71788238945004,0.7892433242373997,76.98799920082092,6.4062382637023925,0.09562618264092346,297.0245849056108,-11275.664298806234
39,09,02,1979,5.855045931667751,0.0004405030966470248,273.97098138847355,0.7968839787801106,82.35646843910217,6.936192402670119,-0.16983073022630482,299.493688148674,-11217.01850747071
40,10,02,1979,6.526579398261176,0.0004349154802829162,274.2110043860118,0.7772499722374809,82.44584345817566,8.10232562658522,-0.4521423183229235,303.2936319306513,-11148.034884604844
41,11,02,1979,6.719690149603949,0.00042761036741924524,274.37249119317795,0.77429161245558,85.38826727867126,9.0867270204756,-0.6211401548597547,309.375415440428,-11086.618320240907
42,12,02,1979,6.354271956380207,0.0004299646037715067,274.4117315794627,0.7757840318891737,84.08836913108826,9.462748462952508,-0.682439899359809,313.2748229331169,-11044.033094231667
43,13,02,1979,5.98144448038737,0.00043192240936355125,274.3484472010718,0.7755223462846544,82.29144549369812,9.413956407758924,-0.338770624923706,314.09058504734395,-10998.77095359882
45,15,02,1979,7.336924179416232,0.000442695540298866,274.88043874583775,0.7600183632320828,68.17931628227234,8.98600388031006,-0.07833918378618018,308.36375498579287,-10841.241993825473
47,17,02,1979,8.133997148301866,0.0004348089089946408,275.40433168949556,0.7365303434583875,68.21162867546082,9.67810853583018,0.09049289807213692,299.7585615201175,-10646.53587716278
48,18,02,1979,8.320417007107205,0.00042854413161692894,275.7378317238278,0.7270861579895019,68.40748858451843,9.96420674563514,0.5613579943762887,295.6433360689563,-10470.847359429237
49,19,02,1979,8.744482739935982,0.00043232930057241045,276.00314030740526,0.723073971939087,72.60965466499329,10.454434034813776,1.2052408209906686,292.88993414866445,-10247.686759605886
50,20,02,1979,9.169736484781902,0.00042702930489019766,276.16958079982334,0.7169829942915176,76.72231721878052,11.397586893929377,1.4050282420476279,292.20991695625565,-10028.233877254661
51,21,02,1979,8.84481417711046,0.00042090986041662544,276.3708486974504,0.7025260070800781,77.16244506835938,12.002649700440303,1.0536805710474653,291.0801521384812,-9853.912608020717
53,23,02,1979,9.489622351074217,0.0004494736109959553,276.7392534488678,0.7019172462887234,84.46534967422485,12.871273667165969,1.8140170791625978,278.19263994731074,-9610.53918140961
54,24,02,1979,9.48645728318956,0.00045793290419304263,276.94644165471396,0.7005975591871473,87.32693243026733,14.00519215780894,3.3247017640007868,267.04816626167394,-9512.523793673035
56,26,02,1979,9.837107766045465,0.000446137914333743,277.36827405938044,0.6987840744866265,105.28715419769287,14.987010562049019,5.186799470837911,246.24002467921179,-9364.946077930976
57,27,02,1979,9.108944207763672,0.00044686714423043363,277.4539008435143,0.7104226954989963,106.05837798118591,14.365907355011835,5.5019989690780635,237.78299502166942,-9314.677952758157
58,28,02,1979,7.995889125230576,0.00044551061449287773,277.4958720785353,0.7175735182020399,106.37167620658875,14.116587540054322,4.4938954913245315,225.39444434443698,-9255.874509466172
59,01,03,1979,6.995632780626084,0.00045194142989590645,277.5703145094554,0.7311517820570205,106.059321641922,13.874447074127197,4.202972192234464,209.13070983232618,-9153.31461067925
60,02,03,1979,4.934829655287001,0.0004372669606290856,277.5935779703352,0.7228608172098795,102.35039162635803,13.756460703659059,4.619897893269857,193.61459430186693,-9011.472476330897
61,03,03,1979,2.786619181315104,0.000413852312117721,277.4957021982405,0.7165617585076226,103.18551015853882,13.595895750088163,4.874866016239591,178.90397317170107,-8863.0258137829
62,04,03,1979,1.8417435387505425,0.0004006541718457331,277.42164048186413,0.7265305906507703,101.80033159255981,12.841023024113973,4.762905282338461,161.44254299833867,-8737.938650052287
63,05,03,1979,1.1110100775824654,0.0004004436266887094,277.3824728352441,0.7457059991200765,101.99119853973389,12.511640634367202,4.905425391557483,140.790923717943,-8630.796182458576
65,07,03,1979,-0.6521738369411892,0.00040335616914646583,277.35008844536674,0.7655894725375705,102.56467151641846,11.556962152820164,4.424414841079712,108.60987377175677,-8420.498349814658
66,08,03,1979,-1.652198311360677,0.0003966680844790466,277.3564166547987,0.7524271837446425,102.58109617233276,11.05499812619951,4.927063840209114,102.75572021242849,-8289.872761034374
67,09,03,1979,-3.8641463165283203,0.00039688221702226657,277.3892940940433,0.7439916200849745,89.5577392578125,10.278762045542399,5.044480970658197,96.49327390777398,-8150.33471097872
68,10,03,1979,-3.9329359310574,0.00041595661169404696,277.5673818537818,0.7546826966603597,88.85291719436646,9.727015798844231,5.94037897981008,85.58295985439838,-7998.116132135899
69,11,03,1979,-4.19631939324273,0.0004161699546788643,277.75065688056947,0.7324771008809408,83.4820294380188,8.737709262508817,6.577640131102668,72.47070501031695,-7848.555447492366
70,12,03,1979,-4.487470566474068,0.00042595218152034954,277.9393937207116,0.7383755146026612,84.51880836486816,7.098035030047099,7.340939696820579,61.2085902515288,-7665.171833655664
71,13,03,1979,-4.842679254489474,0.0004189992594065391,278.1526859227923,0.7296483501434327,83.30102968215942,6.252671513006422,7.875710897445679,53.00061249775991,-7421.219123239918
72,14,03,1979,-5.127676138305664,0.00041748876192901254,278.43672378285726,0.7190761985354953,78.72942733764648,6.239875002119276,7.912644631555346,44.440958840271776,-7136.8556947603565
74,16,03,1979,-5.249897808159722,0.00039406614044797204,279.17732727762854,0.6867131501091851,65.61533689498901,6.725870889430576,7.09787365428077,23.819762929601808,-6618.399315048578
75,17,03,1979,-6.419159842597113,0.00039239794830252017,279.2787315196991,0.6951536031511094,66.30147504806519,6.949106972228155,6.466704217402141,19.21558813649805,-6384.907635630326
76,18,03,1979,-7.11666628282335,0.00038586823854481437,279.3478891412523,0.7084584174686007,66.29677248001099,6.410969226858351,5.4798151578055485,15.024678360289164,-6161.432678690061
77,19,03,1979,-7.430713938734267,0.0003952282493261009,279.46431225111223,0.7093933288150364,66.29636478424072,6.128531493653191,5.0405107919269145,8.878811122540487,-5972.653450798037
78,20,03,1979,-8.176372060479059,0.0003995214363800794,279.5436577774896,0.7073914342244466,66.1022047996521,5.952475260162354,4.273165616501702,0.6501573755629979,-5826.794913164402
79,21,03,1979,-8.21461627638075,0.00041281347321655627,279.64551241989136,0.7115195441775852,68.31156492233276,5.696192991744147,3.6895524815877283,-9.661180268479251,-5695.552506216133
80,22,03,1979,-9.09867835828993,0.0004139880532747055,279.79433585298324,0.7104604247199163,66.85013794898987,5.26607233804067,3.262230889892578,-22.384081604445566,-5552.924397898829
81,23,03,1979,-9.288540990871855,0.00042791476408444095,279.98944632695515,0.7222703676011828,69.32143235206604,5.345615947850546,3.3373783996370108,-35.30985628637111,-5406.392200241099
82,24,03,1979,-9.070782623969185,0.0004324998641861182,280.2081796172248,0.7378542059580486,73.94362282752991,5.506106991238064,3.7098280735015874,-42.3924085464224,-5238.260556398288
84,26,03,1979,-13.098979888576931,0.00041606967317982507,280.10055380104916,0.741860971154107,67.33486342430115,4.622096495734321,2.9144405934863626,-40.96721817957205,-4850.302287421038
85,27,03,1979,-14.394365652465819,0.00041678577290626387,280.094605515798,0.7349984759860568,61.32908797264099,3.754354598765903,2.1171201868904963,-38.340649208498625,-4643.729036675525
86,28,03,1979,-15.45559822048611,0.00041374349543817107,280.1379298084683,0.7298664283328586,52.487542152404785,3.6032327839321563,1.143291671668159,-39.97360730643974,-4413.410831840094
87,29,03,1979,-15.18961484612359,0.0004166353888055811,280.1916553737217,0.7305511649661595,57.178643226623535,4.0074275743484495,0.8043677833557131,-43.62323826421375,-4150.042182916464
89,31,03,1979,-15.592330389065213,0.00044040625960559636,280.35185083779226,0.7183522930145263,65.13916850090027,5.253018767907886,1.0740941146002878,-43.015362331326635,-3672.4678601929736
90,01,04,1979,-15.988775990804037,0.0004416538620674853,280.29929059846665,0.7241538270738391,78.18642735481262,5.505077224731446,1.1874001613828873,-48.13304138964823,-3485.779610010405
91,02,04,1979,-16.488118464830187,0.00044184315433376466,280.2524134239197,0.7280579158359104,84.86218166351318,5.1695409311718405,0.7621612982220121,-58.305039493904964,-3321.755690305669
92,03,04,1979,-17.12554314236111,0.00044038824905241606,280.32341157862345,0.7215846664852567,82.63904666900635,5.379072584406535,0.7122479000939265,-65.80627363445231,-3149.046781266156
93,04,04,1979,-17.655909555392792,0.00044064386382184847,280.3955196010166,0.7158863181644015,85.18192481994629,5.449394777213203,0.6748327439414131,-65.8158325912886,-2962.648766497137
94,05,04,1979,-18.215012430148654,0.00043753277548898447,280.4344419483185,0.7016166433970134,87.74324607849121,5.672839414193896,0.7722159953435264,-62.6919108554523,-2774.2951245806385
95,06,04,1979,-19.08509339633518,0.0004353773642377645,280.46465847121345,0.6850465721978083,84.7050371170044,5.911496268293593,0.2978717681248985,-64.63595774258452,-2593.4645605186356
96,07,04,1979,-19.052529101901584,0.00044843675613592495,280.5513099323273,0.7017026435428195,84.61247491836548,6.43216312804752,-0.14474084599812806,-72.25698831638327,-2421.1635865864328
97,08,04,1979,-19.47003208448622,0.00044973123742088827,280.6820389807807,0.7142405172136094,84.51408243179321,6.767967357550727,-0.3416418638865151,-79.91255730062204,-2238.1499665304977
98,09,04,1979,-20.984022700330947,0.00042983107509783923,280.70146076558433,0.703065618472629,84.53844738006592,6.918030067443848,-0.4152106567170881,-85.30205552572497,-2040.5802672411962
99,10,04,1979,-22.827792921278213,0.00041641683699431773,280.57268685099285,0.7210645005967883,84.76885271072388,7.428045012940301,-0.9555460617701211,-86.79256359522233,-1810.8554011701967
100,11,04,1979,-22.61563266974555,0.000419912184460716,280.4944314419217,0.7363930500878229,91.0407133102417,8.432920288764105,-1.8765529685762194,-87.71078772275445,-1599.7574477579117
102,13,04,1979,-23.654390773179795,0.0004554592326219386,280.57147119954425,0.7465187255859376,87.56223678588867,8.246280180040996,-3.712196184327867,-96.79900281936897,-1259.5583263852961
103,14,04,1979,-24.639217458428277,0.0004645673918141862,280.66653211534293,0.7352725145975749,87.55240058898926,8.308262938563029,-3.9155294972101844,-97.09639158022792,-1060.6328692769587
106,17,04,1979,-22.338990816582573,0.0004996001728778638,281.412304788208,0.6987782614390057,90.13149929046631,9.050243678008185,-1.2168898000505233,-113.31973584251568,-354.7671120619965
107,18,04,1979,-22.07807122294108,0.0004940562113644773,281.6296074354384,0.6940219605763753,90.48339176177979,9.648931568590799,-0.01553708195156472,-124.67557773911335,-122.99991410493898
109,20,04,1979,-21.70194012451172,0.0005111492543005726,281.9931324452718,0.685666341442532,89.68944072723389,10.107636442396375,1.3157491720835377,-142.78320988257997,323.17786411149314
113,24,04,1979,-20.03575578511556,0.0005508496736403282,282.5021501356337,0.6837626772138808,86.93217325210571,9.385851141060723,4.540534147495695,-154.1406705484901,1089.8193686500538
115,26,04,1979,-18.15318157382541,0.0005788902552509777,282.83691305881075,0.6844789831373427,93.80689120292664,10.025998507690428,5.444021005609302,-167.81771909784,1462.118598466077
117,28,04,1979,-17.17102992485894,0.0006116519752066475,283.2825791364882,0.6722312046474881,93.41856384277344,10.97604125304752,6.843837038697138,-179.31760831906607,1793.2774323379736
118,29,04,1979,-16.399065489027233,0.0006385786629719304,283.5911206807454,0.6679350669860841,100.17751479148865,11.113903947809007,7.8150793787426425,-184.6925100886559,1950.8798956106823
119,30,04,1979,-15.608761299641925,0.000683742440638788,283.99779295450844,0.6799022186703153,93.96098637580872,10.235459013260735,8.491401760843067,-189.3092088297362,2134.8138764959285
121,02,05,1979,-15.259885106065536,0.0007507347488995138,284.7270833655464,0.6718303349388971,85.3855402469635,9.521252399592928,9.210614384206139,-193.17051623896185,2644.093748527977
122,03,05,1979,-14.787663958401149,0.0007726058622015748,285.1197338409424,0.659261020067003,82.13912653923035,9.056422572729325,9.159659006309509,-195.2224204352872,2922.869664854499
123,04,05,1979,-13.234648025512692,0.0008064993474140972,285.66844379001196,0.6511912703196209,80.01544690132141,8.65193564590878,9.196929495196873,-201.09787657402097,3182.9940637389427
124,05,05,1979,-12.678671640692816,0.0008395769096982501,286.14502385694715,0.6577071318732367,85.94245648384094,8.492497613546583,9.287601353073121,-206.86414506360455,3432.9532449288886
125,06,05,1979,-12.170277786254882,0.0008790174740383615,286.49807482096355,0.6784448370615641,85.34420275688171,8.222550823720296,9.76994344912635,-211.18402185974134,3678.8387711030146
126,07,05,1979,-12.678876930406357,0.0008933802334305964,286.70539252590606,0.6706595907847087,85.31240391731262,7.687574710761175,10.510721642536588,-215.3802854674936,3933.7742873324964
127,08,05,1979,-13.07088568250868,0.0008979838495761013,286.7919265309652,0.6598348151312935,89.89770722389221,7.1479323740217415,10.864361911816069,-222.83479775073988,4174.586472812626
128,09,05,1979,-12.796241038682727,0.0009116741999040339,286.89790575900605,0.6571929904090034,90.78560781478882,7.344499016486274,10.667850157165528,-231.10347903300317,4402.637042663374
129,10,05,1979,-12.549582133314344,0.0009132144419095818,287.0771400519477,0.6427321461571587,91.07196998596191,7.335393952030605,10.819895998446148,-240.07935007859194,4634.330615106245
130,11,05,1979,-13.949073280504015,0.0009228621003088847,287.2127883734809,0.6384755201127794,84.46115159988403,6.737680861006842,11.424162048742506,-247.95455283261282,4890.65243617278
132,13,05,1979,-13.501118958536784,0.0009079658623809236,287.27641521945526,0.6462069840749104,92.24549770355225,6.867973211161296,12.930493657472399,-265.7396777034058,5385.0296787061025
134,15,05,1979,-13.007908079698352,0.0009337738981991505,286.9895234646267,0.6996963635762533,113.90052390098572,7.219299691412184,13.194658332739937,-291.9062241273363,5781.554699928106
135,16,05,1979,-14.220331393771703,0.0009260557845188588,286.76283472018775,0.6998137496100533,116.56492018699646,7.247563650067648,12.813062492010328,-301.1162325650103,5964.521906743843
136,17,05,1979,-15.065862328084311,0.0009155749611046809,286.79399693976507,0.6900603248172336,112.25292086601257,6.346060824542575,11.395155546696982,-305.5659161158868,6161.65521546775
137,18,05,1979,-15.156527352905274,0.0009276214609620083,286.8430678534613,0.6993993614196777,111.99677157402039,5.594029913478427,10.122665240626867,-304.64589012131137,6379.2666550184995
138,19,05,1979,-14.72322865702311,0.0009529916891294003,286.947656777615,0.7187491536882189,112.01003623008728,4.855609399138557,9.231092614809672,-303.8466071930325,6600.061820835278
139,20,05,1979,-16.423134839545355,0.0009505065285017635,286.9883309736464,0.6983225459204779,106.22312808036804,4.683526668548583,8.290550796614754,-309.50371122794706,6802.772238626546
140,21,05,1979,-17.213907769775393,0.0009763748737493895,287.1205732350667,0.6872595719231499,103.9297993183136,4.486069605827331,7.3803026383294,-322.09158925044335,7002.5217231605475
142,23,05,1979,-19.176710765923396,0.0010049509656611716,287.3986688551161,0.6636726529863146,99.009104013443,4.082025652461582,5.827628658019171,-348.9485557672183,7445.918437360204
143,24,05,1979,-18.934726140340167,0.0010013579672386388,287.56845759175616,0.6605103074815538,96.86967873573303,4.164415271335177,5.552239344406129,-356.8148137547265,7665.260488019968
144,25,05,1979,-18.143425695122612,0.0010119768416563804,287.72200267232256,0.6614389736175538,98.33213186264038,4.320058051511976,6.009045406532289,-364.4477020505506,7859.216221833845
145,26,05,1979,-19.610141694132487,0.0009890506577174166,287.76062609965004,0.6507619871351454,95.11264657974243,4.752132943089803,5.740384815046523,-374.70119600218743,8043.645209691116
146,27,05,1979,-19.649571678670245,0.0010059881887557922,287.85988064236113,0.6513954645368789,90.27972221374512,5.130647924168906,5.325224338255989,-384.924833954209,8229.244189491903
147,28,05,1979,-20.461090186564128,0.0010032596262800426,287.89800785386825,0.6476924369388156,89.40411949157715,4.698530764876471,5.155994686486987,-394.60035205555494,8410.647122607641
148,29,05,1979,-21.562919707234702,0.0009748923216326553,287.8568621188694,0.6363779152340359,81.26213359832764,4.554491856532627,4.373878476142884,-407.18397876503195,8582.8078176818
149,30,05,1979,-21.897648182508682,0.0009284455974710404,287.72920940280494,0.6336624440934923,81.18394136428833,5.356296425671047,3.9369960514280535,-419.3363276062629,8740.242111104239
150,31,05,1979,-22.163538095092772,0.0009014931640296304,287.5916414632162,0.6242868946075439,77.33350610733032,5.934494112353855,3.209079148038229,-429.2534973734429,8867.767940294323
152,02,06,1979,-22.329319884236654,0.0008666356694580827,287.43358851148815,0.623292133500841,68.22279834747314,6.403642693159315,2.2020357409583204,-451.7595106968961,9091.752061218034
153,03,06,1979,-23.5151258843316,0.0008466389612194689,287.2336609510633,0.6263144933488634,67.74017524719238,6.660034024386936,1.8457223274442889,-463.8463335325687,9207.329430914515
154,04,06,1979,-23.976419608561198,0.0008341321927560178,287.0595835310194,0.6254286833021376,58.80462837219238,6.723111083920798,1.3777701902813386,-474.34373547921035,9323.134841140898
156,06,06,1979,-23.73383419765896,0.0008190931184183986,287.1032152648925,0.6124369685278999,58.61621952056885,7.095536738798354,0.09316029512617373,-492.62931949561727,9610.723602155398
157,07,06,1979,-23.557943158976236,0.0008285138086266872,287.2179176066081,0.6142977363162571,56.53753328323364,7.685823535262214,-0.7004165569941198,-500.501312747746,9787.619234713124
158,08,06,1979,-23.561009082370337,0.0008415763134064845,287.30991434970434,0.6205699560801189,56.469056367874146,7.585519953473409,-1.4013025174670743,-505.5730119617957,9949.265839471378
159,09,06,1979,-22.989351134914823,0.0008372792939152632,287.3667455407037,0.6295934109581842,57.38265538215637,7.835015814060635,-1.6240122505187984,-509.20587692897965,10086.012845513187
160,10,06,1979,-22.849168471272787,0.0008305500325250857,287.41680585157604,0.6220486632029215,56.889851808547974,8.169850958739387,-1.9732714600033223,-513.9796139333943,10198.481282226883
161,11,06,1979,-23.107089755249024,0.0008455508643530466,287.50281137559676,0.6118007160186767,50.04902672767639,8.368040995555454,-2.326814255883958,-519.2911087696936,10305.872797547428
163,13,06,1979,-23.617077801513673,0.0008294908534480177,287.7363974443224,0.5804546421474881,37.25440192222595,7.840439586469862,-2.824536088773939,-525.0532665699079,10534.8358565039
164,14,06,1979,-24.496266645304363,0.0008457097315189053,287.8227698828803,0.5723910756852891,27.85776948928833,7.717544754791261,-3.2585236249499845,-526.4778676410203,10650.090275644554
166,16,06,1979,-23.95085196668837,0.000912393969175375,287.9963613701714,0.6026579274495443,26.350274085998535,8.703691148991055,-3.767347176233927,-528.1394296530729,10887.512844826399
168,18,06,1979,-23.23237235853407,0.0009612458840984497,288.2261197221544,0.6004626882765028,30.59356927871704,10.047613163884481,-3.375011863496568,-532.7013028326907,11120.73614908831
170,20,06,1979,-22.793154291788735,0.0009424266471299132,288.10950295410163,0.6328857740190295,31.754679918289185,11.85944723947313,-3.3548191949208572,-532.8838648883817,11387.65867003506
171,21,06,1979,-23.04093879665799,0.0009102694078703886,287.95186903008357,0.6414386417812772,33.61404013633728,12.739656772486368,-3.555325018925137,-529.1138758523057,11496.471073210581
172,22,06,1979,-22.48602293870714,0.0009027524460577196,287.9364137576633,0.6478430722130669,33.453460931777954,12.8775942642,-3.8830677982118393,-525.7915889156935,11588.231866887172
173,23,06,1979,-22.558108380466038,0.0009037872439405772,287.8667627499051,0.6519651911417643,34.74524426460266,13.158567077679104,-4.451011392762926,-524.0447815816246,11672.895043309758
174,24,06,1979,-23.82781314629449,0.0009048542882199804,287.86733102552625,0.6481933277130126,29.182403326034546,13.33814444702996,-5.580027716318766,-522.1626085471518,11765.603537377618
175,25,06,1979,-23.84144911532932,0.0009341468771653428,287.95932876383466,0.6542816746605769,27.210105657577515,13.11495488986969,-6.200099110921224,-519.3919465456268,11860.864664690873
176,26,06,1979,-24.680092277357314,0.0009426857606575545,288.05565781589087,0.6537605433993868,26.628776788711548,13.022149974483915,-6.633091324488321,-516.2750058924619,11963.99174620133
178,28,06,1979,-24.577839771525063,0.00098342991140089,288.3089343763564,0.6694988175710043,27.4907386302948,13.443606294737922,-6.992503760761684,-509.272506577681,12189.727531975563
179,29,06,1979,-24.033416458808052,0.001023718991119252,288.4073905866835,0.6768664372338189,33.386974573135376,13.193429891120065,-6.775601100031535,-508.5204337624824,12296.189741039028
182,02,07,1979,-21.294894101291234,0.00106154743443282,288.80851887986927,0.6990375959184435,43.39892077445984,14.23602026293013,-4.88107568473816,-503.80314486667424,12602.688776239094
183,03,07,1979,-21.01887463378906,0.0010545439592017324,288.8685902950711,0.6982134255303277,44.33173584938049,15.018300227673848,-4.317124671406216,-498.09920689826737,12705.826387923198
184,04,07,1979,-20.551803827582468,0.001048713465697114,288.93159028625485,0.6941351332346599,51.2319118976593,15.365092420323691,-3.9724845520443384,-494.85984203012123,12816.93892967296
185,05,07,1979,-20.605405653550893,0.0010451957891712178,288.92984885592995,0.6884091343349881,51.87344002723694,15.6810725476159,-3.814587887234157,-493.2056514480899,12916.324487020207
186,06,07,1979,-20.42845432501899,0.001047436096798871,288.94972412821454,0.6931518135918512,52.0272171497345,15.89073622671763,-3.604247535875108,-490.7537089557617,12978.457106399374
189,09,07,1979,-19.07165101589627,0.001083297129031012,289.13311376987036,0.7052034730275472,56.655718088150024,15.384727134005228,-1.6588409252802525,-485.81963756803134,13062.756518691805
190,10,07,1979,-17.98440437113444,0.0010950084829962484,289.07893935987687,0.7163315558539497,73.52424120903015,15.264374902068246,-1.3876323516421845,-486.04843798225045,13053.03412647454
191,11,07,1979,-18.21931699388292,0.0010689471025599536,289.03602457071946,0.7150952491336399,75.11514163017273,15.129080376603868,-1.6189869533326886,-485.14032693553133,13031.139240985318
192,12,07,1979,-18.040769624498157,0.0010877194102484888,288.9615033688016,0.7258126881069608,77.66272282600403,15.624691448635526,-2.1164295259899557,-482.3209970520415,12993.535361042292
193,13,07,1979,-17.696080822414824,0.0010802694860483017,288.987104973687,0.7279019216325547,78.27921605110168,15.819576800325184,-2.55190521782769,-478.3960091734353,12940.34951490185
194,14,07,1979,-16.733468266126845,0.001094953495999673,289.08325844523114,0.7353007589552137,79.43416476249695,15.816650088055928,-2.2495117877536344,-474.45737146174645,12880.8424791596
196,16,07,1979,-15.584484275648329,0.001124794874965381,289.2984972930908,0.7221339275783962,77.8828752040863,16.085554906781514,0.13078532532586054,-470.5646909681708,12726.31119604806
197,17,07,1979,-15.65526914537218,0.001134847858830795,289.24683507622615,0.7255157833099365,76.56278824806213,15.901708644972908,1.2670840955098475,-469.711427263318,12627.500040307063
198,18,07,1979,-15.30596896226671,0.0011216636831460466,289.19899635484484,0.7209723202175564,78.89106965065002,15.10058178522322,1.8021623118506545,-467.9049378219981,12511.373955129966
200,20,07,1979,-15.038104352145725,0.0010975314611714566,289.317279619005,0.6969193220350477,78.50925207138062,13.217800926462811,2.222053051058452,-464.50176952029227,12251.836450677245
201,21,07,1979,-14.732296010674371,0.0011323372740093165,289.37592172207303,0.7040233997768827,77.23036193847656,12.43328333545261,2.0145301095750603,-466.02280058419296,12145.3431124317
202,22,07,1979,-13.689284803263346,0.0011526396086167653,289.3909351528592,0.7063997040218778,78.67777156829834,12.740163158247206,2.65444610701667,-467.43971853581536,12073.608405321942
203,23,07,1979,-13.764421909925671,0.001137714978997873,289.3819800977919,0.6944816947089301,78.16097640991211,12.965330650605097,3.21208442738851,-466.7860993661765,12013.23250428426
