,beginning_day,beginning_month,beginning_year,MSSHF,SH,t2m,TCC,tp,UW,VW,msl,z
1,02,01,1979,7.823012836371527,0.00039636572062831367,271.4845996685028,0.7885599567837185,66.49518752098083,9.217361553488837,-2.7498376827875775,489.9098453021829,-13121.90209786478
3,04,01,1979,9.720855699666341,0.0004109835382145522,271.9961670839522,0.7768404299418132,71.25860357284546,10.766597442732918,-2.340531763776143,480.55727303789973,-13073.092695310648
4,05,01,1979,10.195813804117838,0.00041844221951770224,272.3716285645803,0.7811335063086615,72.09791874885559,11.136714319165547,-2.3299016936620074,481.6508239893793,-13035.991209834918
5,06,01,1979,10.947715005154079,0.0004124660882180251,272.66456198009917,0.7835621457417806,72.10169529914856,11.161801705508763,-1.9619615293926662,488.0070636368999,-13013.498514435649
6,07,01,1979,10.618276574707032,0.0003867451312676066,272.65861569052805,0.7768587776607937,69.19118618965149,10.760060854212442,-2.109193408203125,493.6889575167426,-12993.55288214732
7,08,01,1979,10.141721267022028,0.0003823415877289436,272.59221901202733,0.7768401844448513,69.6405861377716,10.215871987024943,-2.178324705484178,493.7348301868715,-12977.170200522376
8,09,01,1979,10.087576349894205,0.00036934827007009723,272.56833482377795,0.7699954129536947,64.6077811717987,10.01122267144521,-3.0080360143873426,485.3959467239896,-12953.400250143362
9,10,01,1979,9.504327627224392,0.00036671018940802845,272.50327252646554,0.764988297144572,57.42866778373718,9.928217825931972,-3.3642549370023938,468.9587076589888,-12910.908151456939
11,12,01,1979,6.408009032185872,0.000398661616958048,272.3051506213718,0.7836972997029623,53.63340783119202,9.417564729521011,-2.5343629903793334,428.41484169983,-12797.264011465231
12,13,01,1979,5.117017214626736,0.00041414391210528264,272.2958371893141,0.79896457256741,58.30215573310852,9.146385920821295,-1.336084734535217,412.42327740308167,-12754.627608513903
13,14,01,1979,4.75011772257487,0.00042486040910809814,272.41569516071746,0.8160658796946207,72.1822669506073,9.004713540967307,-0.23901659253438295,398.4353201702863,-12734.126661092587
