,loss,val_loss
0,5317.61328125,3960.524658203125
1,2815.999267578125,1930.8948974609375
2,1449.8731689453125,1246.4171142578125
3,1095.8773193359375,1041.975341796875
4,1019.609375,1018.7574462890625
5,989.4949340820312,1000.9542846679688
6,990.5492553710938,986.3726806640625
7,970.9280395507812,988.440185546875
8,966.574462890625,988.3522338867188
9,956.5534057617188,998.9974975585938
10,952.784912109375,996.431884765625
11,942.4932861328125,1002.8118286132812
12,935.31689453125,992.9869995117188
13,935.2238159179688,995.9434814453125
14,917.9754638671875,1007.4697265625
15,927.34375,986.439208984375
16,917.219970703125,971.1735229492188
17,927.3059692382812,976.9286499023438
18,912.2650756835938,978.8160400390625
19,902.8428955078125,987.4611206054688
20,900.6380615234375,976.6444702148438
21,903.0148315429688,974.8165283203125
22,890.5281982421875,972.1246337890625
23,886.9805297851562,983.4075927734375
24,888.893798828125,994.5003662109375
25,885.8709716796875,1008.9730834960938
26,882.0283813476562,987.8419189453125
